Node,Value
Vihaan Diaz,3.516896637197389
Christopher Harris,3.43262001156738
Leah Roberts,3.9204742625795257
Hannah White,3.890894819466248
Azriel Martin,3.466248037676609
Queen Hill,3.2051970585805174
Gia Adams,3.9328678839957036
Fiona Barnes,3.5862182929852104
Rae Cox,3.749400974964885
Mabel Adams,3.880153680905561
Nora Mitchell,3.890894819466248
Kai Sullivan,3.829050648599521
Vera Carter,3.856688424357597
Samuel Gonzalez,3.756589275386268
Soren Wilson,3.8937866644633563
Micah Moore,3.7960009914897133
Arya Evans,3.756589275386268
Nicholas Martinez,3.5959679418326034
Beau Clark,3.971783855242502
Elodie Kelly,3.829050648599521
Natalie Reed,3.7933157068495413
Jennifer Green,3.7441130298273158
Lucy Nguyen,3.9474097331240188
Valerie Phillips,3.2406015037593985
Gianna Reed,3.9328678839957036
Patrick Price,3.9278278112864577
Queen Bennett,3.902999256382715
Theo Long,3.8937866644633563
Harper Anderson,3.806618193836239
Arianna Wright,3.8336362885235067
Oliver King,3.6474014707097413
Elise Fisher,3.6167892258117824
Victoria Carter,3.9204742625795257
Isaiah James,3.611377344460051
Ryker Long,3.856688424357597
Eric Cooper,3.5485416838800297
Lila Mitchell,3.6493018259935552
Rich Wood,3.9328678839957036
Ronan Foster,3.756589275386268
Edward Ross,2.986780137156077
Emmett Bailey,3.98673882508469
Gavin Lee,3.516896637197389
Bryan Myers,3.938238453276047
Ivy Martin,3.933859373708998
Killian Miller,3.740353631331075
Ace Foster,3.7791456663637115
Henry Turner,3.971783855242502
Archie Myers,3.85061554986367
Lana Foster,3.5463934561678925
Connor Russell,3.916962736511609
Micah Peterson,3.9353466082789392
Simon Morris,3.890894819466248
Morgan Powell,3.8336362885235067
Levi Gonzalez,3.756589275386268
Otto Collins,3.9619515822523343
Beckett Walker,3.786623151284805
Noah Lopez,3.689828968024457
Lennox Fisher,3.8336362885235067
Vanessa Carter,3.5463934561678925
Roman Myers,3.9353466082789392
Israel Gonzalez,3.605139221680575
Amber Ortiz,3.6923076923076925
David Howard,3.611873089316698
Oscar Green,3.902999256382715
Elise Russell,3.880153680905561
Arianna Russell,3.9204742625795257
Eli Taylor,3.938238453276047
Anya Rogers,3.9353466082789392
Layla Anderson,3.902999256382715
Vivian Barnes,3.778773857721226
Aubrey Hernandez,3.933859373708998
Robin Lewis,3.9474097331240188
Vanessa Thomas,3.8937866644633563
Jade Taylor,3.7558869701726842
Rory Walker,3.5463934561678925
Talia Perez,3.5463934561678925
Sophie Myers,3.7900520532099478
Jasmine Collins,3.5275138395439147
Nick Gonzalez,3.506155498636702
Phoebe Moore,3.756589275386268
Jessica Rogers,2.847269272081302
Kian Bell,3.847227960009915
Zara Torres,3.8336362885235067
Isaac Walker,3.7700570106585145
Eliza Turner,3.862389490209039
Elian Wilson,3.950962571263323
Alana Brooks,3.8019499297694788
Sarah King,3.625382136660332
Leilani Mitchell,3.9148558208708586
Kit Ortiz,3.147649343138065
Nick Harris,3.5728744939271255
Saoirse Hall,3.7700570106585145
Amira Jenkins,3.9328678839957036
Anaya Evans,3.8336362885235067
Ellie Bell,3.9619515822523343
Sara Parker,3.933859373708998
Daisy Brown,3.276047261009667
Jordan Gomez,3.880153680905561
Kaia Hall,3.4723622242419236
Kian Hernandez,3.8937866644633563
Noah Collins,3.8026935470544494
Athena Davis,3.8937866644633563
River Campbell,3.902999256382715
Elijah Myers,3.890894819466248
Jesse Long,3.639180368503677
Jessica Thomas,3.749814095678757
Mia Powell,3.890894819466248
Noa Ward,3.880236305048335
Ezekiel Green,3.862389490209039
Alex Lee,3.5485416838800297
Nina Morgan,3.902999256382715
Robert Collins,3.756589275386268
Cleo Fisher,3.623770965876229
Ellis Murphy,3.8613566884243578
Alexandra Wood,3.9474097331240188
Brielle Murphy,3.5863009171279847
Maria Brooks,3.5463934561678925
Archer James,3.91287284144427
Kit Hughes,3.806618193836239
Lilith Sanchez,3.971783855242502
Mason Edwards,3.9474097331240188
Alice Cox,3.715029331570685
River Hughes,3.756589275386268
Samuel Garcia,3.880153680905561
Elora Morales,3.4186565314384865
Leo Nelson,3.756589275386268
Zachary Phillips,3.6280261092291166
Aaron Fisher,3.8516483516483517
Gavin Edwards,3.890894819466248
August Phillips,2.883252086259605
Dylan Scott,3.8832107741882176
Emery Bailey,3.9204742625795257
Quinn Smith,3.9204742625795257
Alma Myers,3.54416260431298
Jack Hall,3.862389490209039
Elena Moore,2.9338180616376106
Michelle Phillips,3.91287284144427
Aaliyah Lee,3.8937866644633563
Lisa Williams,3.902999256382715
Nora Reed,3.8336362885235067
Elsie Rogers,3.6923076923076925
Ophelia King,3.5463934561678925
Anya Young,3.9278278112864577
Lilith Johnson,3.933859373708998
Seth Reyes,2.8349169627365116
Athena Kelly,3.8348756506651243
Muhammad Rogers,3.1421548376435595
Amber Reyes,3.4613319011815253
Sophie Garcia,3.596670247046187
Theodore Lopez,3.8336362885235067
Judah Kelly,3.890894819466248
Aubrey Ortiz,3.880153680905561
Delilah Fisher,3.862389490209039
Owen Morris,3.506692555564736
Mary Peterson,3.9353466082789392
Levi Stewart,3.359001900355284
Blake Evans,3.350739486077832
Matthew Morgan,3.268197967446088
Remi Wright,3.9353466082789392
Asa Gomez,3.902999256382715
Silas Harris,3.613277699743865
Taylor Sanders,3.4628191357514666
Kaiden Collins,3.893290919606709
Arden Taylor,3.831942493596629
Atharv Martin,3.859538957283318
Celeste Cooper,3.7791456663637115
Elliot Rivera,3.4631496323225646
Ashley Wilson,3.4813269437329586
Arlo Cruz,3.91287284144427
Christian Johnson,3.862389490209039
Queen Russell,3.605139221680575
Mina Reed,3.938238453276047
Josephine Martin,3.815872097826985
Rohan Walker,3.495207799719078
Dean Hall,3.54416260431298
Fiona Long,3.8400396595885318
Silas Clark,3.4008923407419647
Louis Baker,3.971783855242502
Ezra Sullivan,3.8336362885235067
Fiona Foster,3.933859373708998
Raya Howard,3.7791456663637115
Isha Bailey,3.9328678839957036
Julia Torres,3.933859373708998
Sophie Cox,3.902999256382715
Michael Rogers,3.2355201189787657
Peter King,3.622325043377675
Sierra Cox,3.91287284144427
Jean Diaz,3.5687019747170123
Nina Smith,3.986656200941915
Atharv Lopez,3.856688424357597
Calvin Butler,3.914938445013633
Eric Smith,3.8937866644633563
Isha Bell,3.6434355118565644
Cassius Gonzalez,3.5463934561678925
Ivy Kelly,3.66913162025944
Marie Reyes,3.7761298851524416
Kit Roberts,3.8445839874411303
Jayden Ortiz,3.933859373708998
June Hughes,3.619846319094439
Luca Jones,3.5485416838800297
Harlow Cruz,3.5485416838800297
Elias Edwards,3.8336362885235067
Aria Powell,3.5703544575725026
Rose Gomez,3.751673138891184
Sylvia Johnson,3.7639841361645874
Amelia Barnes,3.902999256382715
Ishaan Ortiz,3.6255886970172684
Emmett Price,3.790010741138561
Michael Torres,3.7791456663637115
Declan Russell,3.8937866644633563
Stella Gray,3.8336362885235067
Riley Diaz,3.862389490209039
Hayden Moore,3.756589275386268
Lila Lee,3.98673882508469
Zane Phillips,3.600677517970751
Shiloh Jenkins,3.893290919606709
Rachel Bennett,3.806618193836239
Lauren Ramirez,3.880153680905561
Mira Powell,3.890894819466248
Louis Thompson,3.890894819466248
Luna Moore,3.533132281252582
Taylor Morales,3.8419400148723457
Charles Mitchell,3.9474097331240188
Cassius Carter,3.9204742625795257
Gia Scott,3.7885648186400065
Henry Richardson,3.45794431132777
Henry Jenkins,3.6923076923076925
Noa Murphy,3.9029579443113276
Xavier Lopez,3.7260596546310834
Elodie Myers,3.3692886061307115
Phoenix Scott,3.880153680905561
Ira Gray,3.588697017268446
Beau Barnes,3.8613566884243578
Amir Sanchez,3.8336362885235067
Teagan James,3.866396761133603
Lyra Clark,3.6493018259935552
Leo Diaz,3.9204742625795257
Rohan Nguyen,3.5485416838800297
Milo Reyes,3.9353466082789392
Killian Sullivan,3.8937866644633563
Naya Lee,3.756589275386268
Robin Baker,3.756589275386268
Penelope Johnson,3.7791456663637115
Ophelia Collins,3.829050648599521
Avery Williams,3.8336362885235067
Amir Martinez,3.624431959018425
Michelle Mitchell,3.6084028753201687
Justin Fisher,3.9328678839957036
Mason Myers,3.971783855242502
Simon Lewis,3.98070726266215
Gianna Gutierrez,3.7441130298273158
Jeremiah Ortiz,3.6657440304056848
Natasha Evans,3.565934065934066
Blake Watson,3.806618193836239
Elian Wright,3.870197471701231
Sloane Lopez,3.806618193836239
Maverick Miller,3.756589275386268
Mason Young,3.890894819466248
Imogen Bennett,3.3982896802445675
Ira Phillips,3.4324960753532183
Hudson Anderson,3.9328678839957036
Raelynn Cooper,3.91287284144427
Tara Reyes,3.8244236966041476
Kit Sanders,3.9619515822523343
Nolan Torres,3.9353466082789392
Ares Brooks,3.91287284144427
Nyla Cox,2.8662728249194416
